"","V1","V2","V3","V4","V5"
"1952",1952,0.692794632121846,1.35349759019864,0.9765625,0.829089905126404
"1953",1953,0.729780441378182,1.41408271666591,0.9765625,1.12971008765871
"1954",1954,0.723011920063032,1.39865292469035,0.9761875,1.11964322197298
"1955",1955,0.724926638806811,1.3931655003181,0.9765625,1.0239708294312
"1956",1956,0.72751604308091,1.38762391924313,0.9764375,0.941927081141457
"1957",1957,0.713879878737029,1.34479362521264,0.9781875,0.732165910947397
"1958",1958,0.717690453388639,1.34942163755954,0.9780625,0.624007378669042
"1959",1959,0.71448771803315,1.34956553222303,0.9765625,0.478234633571562
"1960",1960,0.710457512486698,1.3432136582729,0.9774375,0.639043742228027
"1961",1961,0.726213399552895,1.37384573067704,0.975666666666667,0.74181975877836
"1962",1962,0.717802888168916,1.3607269717557,0.97655,0.804370674462896
"1963",1963,0.678660620171334,1.25890034364261,0.97665,0.771070796700154
"1964",1964,0.688435965322772,1.28012358393409,0.97735,0.685801021621102
"1965",1965,0.680503368812803,1.26779777206512,0.97745,0.713436668547467
"1966",1966,0.683896693790038,1.25832558459896,0.9772,0.580198457746461
"1967",1967,0.661310820737902,1.23822743162657,0.9781,0.56311601329331
"1968",1968,0.636275666357324,1.19293803674684,0.97815,0.475077575211304
"1969",1969,0.687169917838277,1.31905621971847,0.977208333333333,0.787424659272408
"1970",1970,0.711179331058805,1.35639152386781,0.977833333333333,0.629536368236455
"1971",1971,0.682087848690751,1.29671815227083,0.979166666666667,0.620869112345077
"1972",1972,0.664458232525915,1.26040597502765,0.97825,0.647676499921013
"1973",1973,0.703765870584521,1.35068236553385,0.977208333333333,0.623663326509588
"1974",1974,0.693418954372181,1.34312724775106,0.97625,0.669271814192846
"1975",1975,0.701347841494153,1.36116230848981,0.9755,0.708073846906521
"1976",1976,0.6811119201897,1.31676799297556,0.977291666666667,0.695273548867475
"1977",1977,0.730273641139122,1.3724264023954,0.977384615384615,0.800245100966635
"1978",1978,0.702124490187436,1.3354253711441,0.977769230769231,0.662281022808144
"1979",1979,0.727315352375866,1.3744474585316,0.977769230769231,0.689954162479701
"1980",1980,0.714142949098955,1.35584237216509,0.978192307692308,0.592791455520597
"1981",1981,0.688649996204188,1.31599920302849,0.979038461538462,0.603013445165257
"1982",1982,0.712714703961776,1.34517534210411,0.978884615384615,0.555204278518759
"1983",1983,0.714229338980956,1.3502464098352,0.978538461538461,0.51847148522725
"1984",1984,0.707614874879004,1.34468766023658,0.978269230769231,0.438185117565916
"1985",1985,0.714194659608105,1.34407307746778,0.978884615384615,0.639372473054634
"1986",1986,0.720970484793346,1.35654689753413,0.978653846153846,0.494343781109778
"1987",1987,0.746513899888254,1.39146942975764,0.979461538461538,0.562575001894588
"1988",1988,0.695627449409216,1.30690335654806,0.979923076923077,0.644563030655544
"1989",1989,0.694793433373153,1.32098634495559,0.979307692307692,0.47221284641172
"1990",1990,0.710023278637951,1.34888322936171,0.980192307692308,0.516590371621777
"1991",1991,0.708009974980067,1.33816378222383,0.980653846153846,0.479887591967846
"1992",1992,0.699629414712394,1.32768814598772,0.981038461538462,0.46267480744305
"1993",1993,0.735573321852838,1.38736514676476,0.979928571428571,0.629970231623705
"1994",1994,0.763020545423319,1.42984409799555,0.980714285714286,0.743697352849188
"1995",1995,0.755129296223991,1.42137544404973,0.980964285714286,0.676437589959259
"1996",1996,0.767128080226344,1.44013905096892,0.980607142857143,0.643614409535957
"1997",1997,0.756033984140453,1.41239432441786,0.981107142857143,0.610271190850453
"1998",1998,0.755337696409538,1.40293467583497,0.9814,0.814213508964998
"1999",1999,0.778388441717331,1.4629958189981,0.9809,0.744201625230294
"2000",2000,0.782061149388175,1.46800736898091,0.9811,0.629513343034363
"2001",2001,0.75884172079496,1.37880981349432,0.9816,0.742792549370768
"2002",2002,0.747862702508602,1.37553444729483,0.9824,0.847242468854144
"2003",2003,0.754629006655741,1.38330538590527,0.9827,0.768779747209073
"2004",2004,0.762885588846524,1.3998248605798,0.982833333333333,0.722627148613068
"2005",2005,0.749240141400943,1.36929921278056,0.9833,0.642359972519404
"2006",2006,0.768442726063794,1.40829441952934,0.983166666666667,0.580399314665764
"2007",2007,0.75847834405868,1.40598877775816,0.983533333333333,0.601238773819369
"2008",2008,0.749307389191045,1.39096507345875,0.9837,0.6059686494718
"2009",2009,0.750691980719619,1.38990571270105,0.984166666666667,0.609733765498085
"2010",2010,0.728315020395029,1.34699344191632,0.9833,0.710332650036781
"2011",2011,0.719569697926413,1.31606959611585,0.983366666666667,0.633622903660047
"2012",2012,0.724279221365027,1.3094582750296,0.983433333333333,0.621321406621245
"2013",2013,0.714074180021184,1.29962583995113,0.9849,0.69920647993338
"2014",2014,0.700051797757111,1.27517368408985,0.984,0.496218666423965
"2015",2015,0.721369666184407,1.29421837924176,0.9845,0.585970804287712
"2016",2016,0.738988159680359,1.32460994927609,0.9842,0.642833342523296
"2017",2017,0.750373587596114,1.34184062695055,0.984133333333333,0.769810599916181
"2018",2018,0.727563053916601,1.3038699441238,0.984333333333333,0.886805342280549
"2019",2019,0.757543834863691,1.33416749827282,0.983633333333333,0.96712725126319
"2020",2020,0.739518765882074,1.32726371589881,0.983533333333333,0.883123816596289
"2021",2021,0.727862401276669,1.29714889123548,0.9848,0.885770559799531
